timestamp,node_id,job_id,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_wait,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_wait_delta
1775002027.8363674,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6082103595,6196918340,144651,40994892,40965336,1885
1775002028.3364553,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6117531171,6232315567,144656,35427576,35397227,5
1775002028.8365424,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6152597288,6267859359,144664,35066117,35543792,8
1775002029.3366325,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6193263678,6307991257,145032,40666390,40131898,368
1775002029.8367212,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6228691324,6343388499,145258,35427646,35397242,226
1775002030.3368094,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6269686362,6384353892,146265,40995038,40965393,1007
1775002030.8368988,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6305114084,6419751141,146273,35427722,35397249,8
1775002031.3369863,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6339851776,6454461426,146280,34737692,34710285,7
1775002031.8370776,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6380846806,6495426826,146870,40995030,40965400,590
1775002032.3371685,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6416274674,6530824039,146875,35427868,35397213,5
1775002032.8372595,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6457269829,6571789516,148553,40995155,40965477,1678
1775002033.337348,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6492698280,6607187156,148561,35428451,35397640,8
1775002033.8374355,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6527436167,6641897413,148575,34737887,34710257,14
1775002034.337524,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6568431411,6682862792,149266,40995244,40965379,691
1775002034.837614,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6603859325,6718260069,149986,35427914,35397277,720
1775002035.3377016,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6644854603,6759225469,153102,40995278,40965400,3116
1775002035.8377922,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6680282565,6794622641,153937,35427962,35397172,835
